"ID","NAME","POSITION1","POSITION2","PLAYER_TYPE","BID_VALUE","BID_YEARS","HAS_TO","BID_START_DATE","BID_WINNER","NBA_ID"
"75","Chaundee Brown Jr.","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630602"
"76","Chet Holmgren","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"1631096"
"77","Chimezie Metu","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1629002"
"78","Chris Boucher","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1628449"
"79","Chris Chiozza","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629185"
"80","Chris Duarte","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630537"
"81","Chris Paul","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"101108"
"82","Christian Braun","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631128"
"83","Christian Koloko","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631132"
"84","Christian Wood","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1626174"
"85","Chuma Okeke","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629643"
"86","Clint Capela","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203991"
"87","Coby White","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629632"
"88","Cody Martin","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628998"
"89","Cole Anthony","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630175"
"90","Cole Swider","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631306"
"91","Collin Gillespie","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631221"
"92","Collin Sexton","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629012"
"93","Corey Kispert","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630557"
"94","Cory Joseph","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202709"
"95","D'Angelo Russell","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1626156"
"96","D.J. Augustin","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"201571"
"97","DJ Stewart","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630597"
"98","Daishen Nix","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630227"
"99","Dalano Banton","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630625"
"100","Dalen Terry","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631207"
"101","Damian Jones","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627745"
"102","Damian Lillard","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203081"
"103","Damion Lee","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1627814"
"104","Daniel Gafford","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1629655"
"105","Daniel Theis","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1628464"
"106","Danilo Gallinari","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"201568"
"107","Danny Green","G",NULL,"SIGNED",NULL,NULL,NULL,NULL,NULL,"201980"
"108","Danuel House Jr.","F","G","UFA",NULL,NULL,NULL,NULL,NULL,"1627863"
"109","Dario Saric","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"203967"
"110","Darius Bazley","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629647"
"111","Darius Garland","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629636"
"112","David Duke Jr.","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630561"
"113","David Johnson","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630525"
"114","David Nwaba","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1628021"
"115","David Roddy","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1631223"
"116","Davion Mitchell","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630558"
"117","Davis Bertans","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202722"
"118","Davon Reed","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628432"
"119","Day'Ron Sharpe","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630549"
"120","De'Aaron Fox","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628368"
"121","De'Andre Hunter","F","G","UFA",NULL,NULL,NULL,NULL,NULL,"1629631"
"122","De'Anthony Melton","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629001"
"123","DeAndre Jordan","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"201599"
"124","DeMar DeRozan","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"201942"
"125","DeMarcus Cousins","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202326"
"126","Dean Wade","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1629731"
"127","Deandre Ayton","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629028"
"128","Dejounte Murray","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627749"
"129","Delon Wright","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1626153"
"130","Deni Avdija","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630166"
"131","Dennis Schroder","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203471"
"132","Derrick Favors","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202324"
"133","Derrick Jones Jr.","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627884"
"134","Derrick Rose","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"201565"
"135","Derrick White","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628401"
"136","Desmond Bane","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630217"
"137","Devin Booker","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1626164"
"138","Devin Cannady","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629962"
"139","Devin Vassell","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1630170"
"140","Devontae Cacok","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629719"
"141","Devonte' Graham","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628984"
"142","Dewayne Dedmon","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203473"
"143","Didi Louzada","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629712"
"144","Dillon Brooks","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1628415"
"145","Domantas Sabonis","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"1627734"
"146","Donovan Mitchell","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628378"
"147","Dorian Finney-Smith","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627827"
